                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2111,                 3.4648,                 4.2743,                0.00456,                0.16883,                0.01025,                0.00499,                 3.0533,                 3.6539,                 4.1606,                0.00024,                0.00024,                0.00024
                      2,                 3.2449,                  3.167,                 4.1392,                0.00386,                0.14286,                0.00971,                0.00489,                 3.0743,                 3.6827,                 4.1639,             0.00049901,             0.00049901,             0.00049901
                      3,                 3.0831,                 2.9136,                 3.9877,                0.00579,                0.21429,                0.01205,                0.00486,                 3.1093,                 3.7982,                 4.1953,             0.00075699,             0.00075699,             0.00075699
                      4,                 3.0909,                 2.6901,                 3.7341,                0.00579,                0.21429,                0.01294,                 0.0032,                 3.1661,                 3.9005,                 4.2843,              0.0010139,              0.0010139,              0.0010139
                      5,                 2.8989,                 2.5446,                 3.5289,                0.00661,                0.21429,                0.01748,                0.00563,                  3.154,                  4.104,                 4.4325,              0.0012699,              0.0012699,              0.0012699
                      6,                 2.8995,                 2.7365,                 3.4352,                0.01756,                0.19481,                0.01278,                0.00439,                 3.3233,                 4.2964,                 4.7183,              0.0015248,              0.0015248,              0.0015248
                      7,                  2.819,                 2.5524,                 3.2953,                0.02007,                0.17532,                0.01749,                0.00663,                 3.2661,                 4.2614,                 4.7448,              0.0017786,              0.0017786,              0.0017786
                      8,                  2.802,                 2.5252,                 3.2375,                0.02184,                0.23377,                0.01471,                 0.0047,                 3.2691,                 3.8693,                 4.5545,              0.0019723,              0.0019723,              0.0019723
                      9,                 2.7903,                 2.4403,                  3.148,                0.11506,                0.22727,                0.09654,                0.02321,                 2.6863,                 2.7094,                 3.4818,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.7608,                  2.473,                 3.1488,                0.44811,                0.38312,                 0.3154,                0.08564,                 2.4428,                 2.2985,                 3.1207,              0.0019683,              0.0019683,              0.0019683
                     11,                 2.6399,                 2.2651,                 3.0163,                0.31558,                0.16883,                0.16802,                0.05812,                 2.2714,                 2.8314,                 3.1109,              0.0019644,              0.0019644,              0.0019644
                     12,                 2.5856,                 2.3083,                 2.9922,                0.26657,                0.45455,                0.26009,                0.09659,                 2.3358,                 2.2207,                 2.9356,              0.0019604,              0.0019604,              0.0019604
                     13,                 2.5064,                 2.1949,                 2.9015,                0.37022,                0.51948,                0.41059,                0.13981,                 2.4067,                 3.2513,                 2.9491,              0.0019564,              0.0019564,              0.0019564
                     14,                 2.5051,                 2.1625,                 2.8985,                0.47116,                0.52597,                 0.4955,                0.16427,                 2.3031,                 1.8402,                 2.9139,              0.0019525,              0.0019525,              0.0019525
                     15,                 2.4305,                  2.061,                 2.8041,                0.56439,                0.65584,                 0.5963,                 0.1872,                 2.0941,                 3.4957,                 2.6999,              0.0019485,              0.0019485,              0.0019485
                     16,                 2.4367,                 2.0742,                 2.7942,                0.74625,                 0.5974,                0.71786,                0.29232,                 1.9506,                 1.8612,                 2.5368,              0.0019446,              0.0019446,              0.0019446
                     17,                 2.3611,                 2.0232,                 2.8135,                0.82816,                0.61039,                0.74593,                0.35588,                 2.0863,                 1.7234,                 2.5146,              0.0019406,              0.0019406,              0.0019406
                     18,                 2.2766,                 1.9301,                 2.7064,                0.84347,                0.68831,                0.81251,                0.45147,                 1.7673,                 1.5628,                 2.4655,              0.0019366,              0.0019366,              0.0019366
                     19,                 2.2256,                  1.854,                 2.6252,                 0.5197,                0.62987,                0.58996,                0.27148,                 1.7878,                 1.7256,                 2.5183,              0.0019327,              0.0019327,              0.0019327
                     20,                 2.0909,                 1.7042,                 2.5313,                0.75901,                0.70779,                0.78747,                0.39982,                 1.6838,                 1.6005,                 2.3045,              0.0019287,              0.0019287,              0.0019287
                     21,                 2.0803,                 1.7389,                 2.5224,                0.95137,                0.81169,                0.91993,                0.51212,                 1.6426,                 1.3057,                 2.2643,              0.0019248,              0.0019248,              0.0019248
                     22,                 2.0928,                 1.7282,                 2.5153,                 0.8635,                 0.7987,                0.83413,                0.47577,                 1.6283,                 1.4946,                 2.2662,              0.0019208,              0.0019208,              0.0019208
                     23,                 2.1255,                 1.7892,                 2.5675,                0.94026,                0.81767,                0.91001,                0.49267,                 1.7201,                  1.237,                 2.2964,              0.0019168,              0.0019168,              0.0019168
                     24,                  2.056,                 1.6611,                 2.4766,                0.89854,                0.81169,                0.86881,                0.45691,                 1.7555,                 1.3787,                 2.3284,              0.0019129,              0.0019129,              0.0019129
                     25,                 2.0246,                 1.6343,                 2.4411,                0.95358,                0.74026,                0.91712,                0.51636,                  1.531,                 1.2676,                 2.1003,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.9492,                 1.5819,                 2.4132,                0.81459,                 0.7987,                 0.8679,                0.52652,                 1.4662,                 1.4749,                 2.0524,               0.001905,               0.001905,               0.001905
                     27,                 1.9647,                 1.6364,                 2.4228,                0.86805,                0.67532,                0.80793,                0.46722,                 1.5698,                 1.5406,                 2.1498,               0.001901,               0.001901,               0.001901
                     28,                  1.951,                 1.5968,                 2.4428,                 0.9479,                0.82701,                0.93466,                0.39774,                 1.9506,                 1.3172,                 2.4248,               0.001897,               0.001897,               0.001897
                     29,                 1.9468,                  1.657,                 2.4135,                0.95712,                0.80519,                 0.9245,                0.54451,                 1.5747,                 1.2665,                 2.2233,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.9826,                 1.6428,                 2.3974,                 0.9528,                0.78646,                0.92205,                0.60685,                 1.3742,                 1.1257,                 2.0001,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.8906,                 1.5716,                 2.3487,                0.98049,                0.83766,                0.92627,                 0.5993,                   1.34,                 1.0166,                 1.9463,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.9225,                 1.5583,                  2.337,                0.92806,                0.81169,                0.86517,                0.41774,                 1.6351,                 1.4687,                 2.3051,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.9631,                 1.6013,                 2.3777,                0.92627,                0.81585,                0.87004,                0.45252,                 1.5045,                 1.2933,                 2.1563,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.8727,                 1.5383,                 2.3391,                0.94192,                0.84256,                0.91466,                0.51705,                 1.5238,                  1.181,                 2.1116,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.8612,                 1.4434,                 2.3394,                0.96314,                 0.7987,                0.87478,                0.53815,                 1.4209,                 1.3638,                 2.0572,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.8501,                 1.5981,                 2.2877,                0.90307,                0.84699,                0.91991,                0.57889,                 1.2991,                 1.1173,                 1.9059,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.8019,                 1.4498,                 2.2141,                0.96241,                0.83766,                0.94062,                0.52895,                 1.4728,                 1.0689,                 2.0535,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.7991,                 1.3958,                 2.2322,                0.95499,                0.85065,                0.93382,                0.56532,                 1.4874,                 1.0836,                 2.0603,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.7705,                 1.3504,                 2.1604,                0.99441,                0.83117,                0.90696,                0.56604,                 1.3059,                  1.036,                 1.9809,              0.0018535,              0.0018535,              0.0018535
